ang_damping,ang_drive_type,ang_max_force,ang_stiffness,ang_target_position,ang_target_velocity,axis,body0,body1,break_force,break_torque,joint_enabled,joint_type,lin_damping,lin_drive_type,lin_max_force,lin_stiffness,lin_target_position,lin_target_velocity,local_pos0,local_pos1,local_rot0,local_rot1,lower_limit,name,physx_joint_friction,physx_max_joint_velocity,prim_path,upper_limit
0.8455208539962769,force,100.0,2113.80224609375,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0.055, -0, -0.064)","(0, 0, 0)","(-1.1520234e-7, -0.7071069, 1.152023e-7, -0.70710665)","(1, 0, 0, 0)",-60.00002670288086,Left_Hip_Pitch_RS04,0.0,5729.57763671875,/humanoid/joints/Left_Hip_Pitch_RS04,126.99998474121094
0.7746941447257996,force,100.0,1936.7353515625,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.03, 0.02925, 0.071)","(0, 0, 0)","(0.7071069, 0.70710665, 0, 0)","(1, 0, 0, 0)",-130.0,Left_Hip_Roll_RS03,0.0,5729.57763671875,/humanoid/joints/Left_Hip_Roll_RS03,12.00002670288086
0.7311815619468689,force,100.0,1827.953857421875,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.142, -0, 0.02525)","(0, 0, 0)","(0.5000002, 0.49999997, -0.49999982, -0.49999997)","(1, 0, 0, 0)",-89.9999771118164,Left_Hip_Yaw_RS03,0.0,5729.57763671875,/humanoid/joints/Left_Hip_Yaw_RS03,89.9999771118164
0.3826603591442108,force,100.0,956.6509399414062,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0.02, 0.021, 0.212)","(0, 0, 0)","(0.5000002, 0.49999997, -0.49999982, -0.49999997)","(1, 0, 0, 0)",0.0,Left_Knee_RS04,0.0,5729.57763671875,/humanoid/joints/Left_Knee_RS04,154.99996948242188
0.10774432122707367,force,100.0,269.3608093261719,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0.03, 0.29, 0.00195)","(0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)",-65.0,Left_Ankle_RS00,0.0,5729.57763671875,/humanoid/joints/Left_Ankle_RS00,14.999977111816406
0.845477283000946,force,100.0,2113.693359375,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.055, -0, -0.064)","(0, 0, 0)","(0.7071069, 0, -0.70710665, 0)","(1, 0, 0, 0)",-126.99998474121094,Right_Hip_Pitch_RS04,0.0,5729.57763671875,/humanoid/joints/Right_Hip_Pitch_RS04,60.00002670288086
0.793255090713501,force,100.0,1983.1376953125,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.03, -0.02925, 0.071)","(0, 0, 0)","(0.7071069, -0.70710665, 0, 0)","(1, 0, 0, 0)",-12.00002670288086,Right_Hip_Roll_RS03,0.0,5729.57763671875,/humanoid/joints/Right_Hip_Roll_RS03,130.0
0.7284872531890869,force,100.0,1821.2181396484375,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.142, -0.000106, 0.02525)","(0, 0, 0)","(0.5001866, 0.50018644, -0.49981326, -0.49981344)","(1, 0, 0, 0)",-89.9999771118164,Right_Hip_Yaw_RS03,0.0,5729.57763671875,/humanoid/joints/Right_Hip_Yaw_RS03,89.9999771118164
0.39178919792175293,force,100.0,979.4730224609375,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.02, 0.021, 0.212)","(0, 0, 0)","(0.5000002, 0.49999997, 0.49999982, 0.49999997)","(1, 0, 0, 0)",-154.99996948242188,Right_Knee_RS04,0.0,5729.57763671875,/humanoid/joints/Right_Knee_RS04,0.0
0.10697077959775925,force,100.0,267.42694091796875,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.03, 0.29, 0.00195)","(0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)",-14.999977111816406,Right_Ankle_RS00,0.0,5729.57763671875,/humanoid/joints/Right_Ankle_RS00,65.0
0.14324958622455597,force,100.0,358.12396240234375,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0.12, 0, 0.3465)","(0, 0, 0)","(-1.1520234e-7, -0.7071069, 1.152023e-7, -0.70710665)","(1, 0, 0, 0)",-60.00002670288086,Left_Shoulder_Pitch_RS03,0.0,5729.57763671875,/humanoid/joints/Left_Shoulder_Pitch_RS03,200.00001525878906
0.08373869955539703,force,100.0,209.34674072265625,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0, 0.02625, 0.08)","(0, 0, 0)","(0.7071069, -0.70710665, 0, 0)","(1, 0, 0, 0)",-24.99997901916504,Left_Shoulder_Roll_RS03,0.0,5729.57763671875,/humanoid/joints/Left_Shoulder_Roll_RS03,95.00000762939453
0.07481527328491211,force,100.0,187.03817749023438,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.142, -0.013, -0.0315)","(0, 0, 0)","(0.5000002, -0.49999997, -0.49999982, 0.49999997)","(1, 0, 0, 0)",-95.79200744628906,Left_Shoulder_Yaw_RS02,0.0,5729.57763671875,/humanoid/joints/Left_Shoulder_Yaw_RS02,95.79200744628906
0.019734760746359825,force,100.0,49.3369026184082,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0.022, -0.01, 0.137)","(0, 0, 0)","(0.5000002, 0.49999997, -0.49999982, -0.49999997)","(1, 0, 0, 0)",-142.00001525878906,Left_Elbow_RS02,0.0,5729.57763671875,/humanoid/joints/Left_Elbow_RS02,0.0
0.0019705048762261868,force,100.0,4.926261901855469,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.01735, 0.1085, 0.020548)","(0, 0, 0)","(0.7071069, -0.70710665, 0, 0)","(1, 0, 0, 0)",-78.99999237060547,Left_Wrist_RS00,0.0,5729.57763671875,/humanoid/joints/Left_Wrist_RS00,78.99999237060547
0.14351889491081238,force,100.0,358.7972412109375,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.1205, 0, 0.3465)","(0, 0, 0)","(0.7071069, 0, -0.70710665, 0)","(1, 0, 0, 0)",-200.00001525878906,Right_Shoulder_Pitch_RS03,0.0,5729.57763671875,/humanoid/joints/Right_Shoulder_Pitch_RS03,60.00002670288086
0.08390042930841446,force,100.0,209.75108337402344,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0, -0.02625, 0.08)","(0, 0, 0)","(0.7071069, 0.70710665, 0, 0)","(1, 0, 0, 0)",-95.00000762939453,Right_Shoulder_Roll_RS03,0.0,5729.57763671875,/humanoid/joints/Right_Shoulder_Roll_RS03,24.99997901916504
0.07050874829292297,force,100.0,176.27186584472656,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.142, 0.013, -0.0315)","(0, 0, 0)","(0.5000002, -0.49999997, -0.49999982, 0.49999997)","(1, 0, 0, 0)",-95.79200744628906,Right_Shoulder_Yaw_RS02,0.0,5729.57763671875,/humanoid/joints/Right_Shoulder_Yaw_RS02,95.79200744628906
0.019686346873641014,force,100.0,49.21586990356445,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(-0.022, -0.01, 0.137)","(0, 0, 0)","(0.5000002, 0.49999997, 0.49999982, 0.49999997)","(1, 0, 0, 0)",0.0,Right_Elbow_RS02,0.0,5729.57763671875,/humanoid/joints/Right_Elbow_RS02,142.00001525878906
0.0019687761086970568,force,100.0,4.921940326690674,0.0,0.0,Z,,,3.4028234663852886e+38,3.4028234663852886e+38,True,PhysicsRevoluteJoint,,,,,,,"(0.01735, 0.1085, 0.020548)","(0, 0, 0)","(0.7071069, -0.70710665, 0, 0)","(1, 0, 0, 0)",-78.99999237060547,Right_Wrist_RS00,0.0,5729.57763671875,/humanoid/joints/Right_Wrist_RS00,78.99999237060547
